seq	time	q0	q1	q2	q3	q4	q5	Dq0	Dq1	Dq2	Dq3	Dq4	Dq5	eff0	eff1	eff2	eff3	eff4	eff5	DDq0	DDq1	DDq2	DDq3	DDq4	DDq5	
26	1580406961.022702951	0.00247968	-0.928844	2.13525	-2.77702	-1.56958	-2.62321	-1.7313e-05	-7.54729e-05	-1.12742e-05	2.3815e-05	1.57398e-05	-3.6114e-06	-0.000161678	-60.8397	-16.1763	-2.82096	0.406969	0.000118199	-3.38308e-05	-0.000109876	-4.01006e-05	5.05012e-05	3.74003e-05	-1.05032e-06	
27	1580406961.030733128	0.00247928	-0.928844	2.13525	-2.77702	-1.56958	-2.62321	-1.91001e-05	-7.06192e-05	-2.38424e-05	1.94072e-05	1.46214e-05	5.65506e-07	-0.000156406	-60.8398	-16.1764	-2.82095	0.406975	0.000117339	-3.58972e-05	-9.85753e-05	-6.02153e-05	4.16217e-05	3.44519e-05	6.04051e-06	
28	1580406961.038730524	0.00247891	-0.928843	2.13525	-2.77702	-1.56958	-2.62321	-2.06776e-05	-6.59355e-05	-2.30049e-05	1.53124e-05	1.96972e-05	-2.02981e-05	-0.000142095	-60.8399	-16.1764	-2.82096	0.406977	0.000114123	-3.75618e-05	-8.78912e-05	-5.71066e-05	3.3522e-05	4.20777e-05	-2.94499e-05	
29	1580406961.046748466	0.00248066	-0.928843	2.13525	-2.77702	-1.56958	-2.62321	-9.8145e-06	-6.14201e-05	-9.75028e-06	5.42454e-06	1.21115e-05	-2.6917e-06	-0.000109012	-60.8399	-16.1763	-2.82095	0.406962	0.000118042	-1.81067e-05	-7.78008e-05	-3.30513e-05	1.58308e-05	2.805e-05	1.20583e-06	
30	1580406961.054733744	0.00248023	-0.928842	2.13525	-2.77702	-1.56958	-2.62321	-1.19643e-05	-5.10318e-05	-2.19716e-05	2.07421e-05	1.71993e-05	-4.65091e-06	-9.62583e-05	-60.8401	-16.1764	-2.82096	0.406956	0.000121666	-2.12532e-05	-5.80366e-05	-5.28661e-05	4.13758e-05	3.59041e-05	-2.15232e-06	
31	1580406961.062697647	0.00248191	-0.92884	2.13525	-2.77702	-1.56958	-2.62321	-1.85635e-06	-4.13237e-05	-2.93623e-06	2.27575e-05	1.58281e-05	5.54924e-06	-5.39966e-05	-60.8402	-16.1763	-2.82097	0.406932	0.000128879	-3.50938e-06	-3.99697e-05	-1.90954e-05	4.36611e-05	3.25899e-05	1.52225e-05	
32	1580406961.070752507	0.0024804	-0.928842	2.13525	-2.77702	-1.56958	-2.62321	-1.04901e-05	-5.00919e-05	-9.46138e-06	1.83607e-05	2.04654e-05	-8.98598e-06	-8.26591e-05	-60.8401	-16.1764	-2.82097	0.40695	0.00012311	-1.80819e-05	-5.37844e-05	-2.96578e-05	3.50004e-05	3.95791e-05	-9.88811e-06	
33	1580406961.078734866	0.00248	-0.928842	2.13525	-2.77702	-1.56958	-2.62321	-1.24643e-05	-4.61877e-05	2.48669e-06	2.03976e-05	1.87707e-05	-1.64155e-05	-7.12151e-05	-60.8401	-16.1764	-2.82097	0.406936	0.000126242	-2.09486e-05	-4.56988e-05	-8.54046e-06	3.7515e-05	3.56258e-05	-2.22518e-05	
34	1580406961.086708382	0.00247962	-0.928842	2.13525	-2.77702	-1.56958	-2.62321	-1.42413e-05	-4.82904e-05	1.52384e-06	2.22099e-05	2.88566e-05	-1.13771e-05	-7.79645e-05	-60.8401	-16.1764	-2.82098	0.406944	0.000127036	-2.34078e-05	-4.80537e-05	-9.94558e-06	3.95878e-05	5.18216e-05	-1.3085e-05	
35	1580406961.094780623	0.00247824	-0.928839	2.13525	-2.77702	-1.56958	-2.62321	-2.16681e-05	-2.68428e-05	6.27035e-07	3.54202e-05	2.64393e-05	-1.25096e-05	-5.09588e-05	-60.8404	-16.1764	-2.82099	0.406919	0.000136244	-3.54197e-05	-1.02825e-05	-1.1203e-05	6.10081e-05	4.63231e-05	-1.46639e-05	
36	1580406961.102717642	0.00247997	-0.928841	2.13525	-2.77702	-1.56958	-2.62321	-1.10635e-05	-3.58096e-05	-2.06583e-07	2.4199e-05	2.41364e-05	-1.35111e-05	-4.67558e-05	-60.8402	-16.1764	-2.82098	0.406931	0.000129177	-1.64288e-05	-2.52803e-05	-1.23218e-05	4.02877e-05	4.11729e-05	-1.59808e-05	
37	1580406961.110745653	0.0024786	-0.928838	2.13525	-2.77702	-1.56958	-2.62321	-1.85097e-05	-2.10699e-05	1.06848e-05	1.37944e-05	1.62265e-05	-2.02221e-05	-2.56587e-05	-60.8404	-16.1763	-2.82097	0.406914	0.000132906	-2.86741e-05	4.75312e-07	6.55012e-06	2.15095e-05	2.66188e-05	-2.69869e-05	
38	1580406961.118715327	0.00247829	-0.92884	2.13525	-2.77702	-1.56958	-2.62321	-1.96077e-05	-3.01143e-05	3.42632e-06	1.57466e-05	1.45673e-05	-9.19985e-06	-4.791e-05	-60.8403	-16.1764	-2.82097	0.406922	0.000132157	-2.97925e-05	-1.49474e-05	-5.98034e-06	2.42703e-05	2.30953e-05	-7.51007e-06	
39	1580406961.126722114	0.00247801	-0.928839	2.13525	-2.77702	-1.56958	-2.62321	-2.05609e-05	-2.14394e-05	7.98989e-06	1.74988e-05	7.3597e-06	9.90534e-07	-3.27826e-05	-60.8404	-16.1763	-2.82096	0.406906	0.000137987	-3.06401e-05	2.09868e-07	1.95085e-06	2.66226e-05	1.02174e-05	1.00405e-05	
40	1580406961.134747469	0.00247574	-0.928838	2.13525	-2.77702	-1.56958	-2.62321	-3.26272e-05	-1.3359e-05	6.57442e-06	1.90624e-05	6.90672e-07	4.79436e-06	-3.92508e-05	-60.8405	-16.1763	-2.82096	0.406895	0.000142984	-5.04004e-05	1.39605e-05	-5.08296e-07	2.85969e-05	-1.40661e-06	1.62578e-05	
41	1580406961.142704275	0.00247358	-0.928833	2.13525	-2.77702	-1.56958	-2.62321	-4.36635e-05	1.08192e-05	5.24372e-06	2.04485e-05	-1.10209e-05	-2.92785e-06	-1.23594e-05	-60.8409	-16.1763	-2.82095	0.40687	0.000149215	-6.79022e-05	5.47783e-05	-2.75948e-06	3.0222e-05	-2.13193e-05	2.68329e-06	
42	1580406961.150738658	0.00247351	-0.928834	2.13525	-2.77702	-1.56958	-2.62321	-4.26304e-05	5.5394e-06	3.99462e-06	1.59298e-05	-5.25015e-06	-4.41615e-06	-1.98873e-05	-60.8408	-16.1763	-2.82096	0.406884	0.000145366	-6.44047e-05	4.43744e-05	-4.81404e-06	2.1752e-05	-1.09431e-05	7.78842e-08	
43	1580406961.158786407	0.00247543	-0.928831	2.13525	-2.77702	-1.56958	-2.62321	-3.05357e-05	2.25823e-05	-2.65507e-06	1.74078e-05	-5.3866e-06	-1.6842e-05	3.20479e-05	-60.841	-16.1763	-2.82096	0.406876	0.000143011	-4.21662e-05	7.2265e-05	-1.6015e-05	2.37164e-05	-1.08964e-05	-2.10896e-05	
44	1580406961.166735277	0.00247333	-0.928832	2.13525	-2.77702	-1.56958	-2.62321	-4.11557e-05	1.65126e-05	-3.35455e-06	2.17752e-06	-1.09405e-05	-1.18354e-05	2.01173e-06	-60.8409	-16.1763	-2.82095	0.406887	0.000140759	-5.91862e-05	6.00913e-05	-1.67983e-05	-2.82025e-06	-2.00785e-05	-1.20307e-05	
45	1580406961.174696223	0.00247035	-0.928833	2.13525	-2.77702	-1.56958	-2.62321	-5.62857e-05	1.08729e-05	-9.40306e-06	4.52555e-06	1.73401e-07	-2.34966e-05	-3.48844e-05	-60.8409	-16.1763	-2.82095	0.406904	0.000138464	-8.346e-05	4.89687e-05	-2.6672e-05	1.25012e-06	-6.48609e-07	-3.15852e-05	
46	1580406961.182689230	0.00247045	-0.928832	2.13525	-2.77702	-1.56958	-2.62321	-5.39176e-05	1.6384e-05	-2.57154e-05	1.20511e-05	1.60336e-05	-2.3362e-05	-2.7004e-05	-60.841	-16.1764	-2.82096	0.406919	0.00013672	-7.73406e-05	5.71181e-05	-5.37715e-05	1.40313e-05	2.63677e-05	-3.05666e-05	
47	1580406961.190745469	0.00247055	-0.928831	2.13525	-2.77702	-1.56958	-2.62322	-5.15723e-05	2.14514e-05	-1.38489e-05	8.09193e-06	1.44405e-05	-3.39463e-05	-6.61844e-06	-60.841	-16.1763	-2.82097	0.406909	0.000136794	-7.14251e-05	6.4314e-05	-3.22337e-05	6.94475e-06	2.29997e-05	-4.78208e-05	
48	1580406961.198707406	0.00247066	-0.92883	2.13525	-2.77702	-1.56958	-2.62322	-4.92537e-05	2.60961e-05	1.30685e-05	1.5217e-05	1.82274e-05	-2.23331e-05	1.27237e-05	-60.841	-16.1762	-2.82098	0.406885	0.000146577	-6.57134e-05	7.06177e-05	1.4366e-05	1.88972e-05	2.88733e-05	-2.68782e-05	
49	1580406961.206722673	0.00247175	-0.928832	2.13525	-2.77702	-1.56958	-2.62322	-4.16702e-05	1.45359e-05	6.13205e-06	2.70359e-05	2.16827e-05	-2.20516e-05	1.20933e-06	-60.8409	-16.1762	-2.82098	0.406893	0.000143183	-5.11979e-05	4.92088e-05	2.21495e-06	3.8536e-05	3.40394e-05	-2.57391e-05	
50	1580406961.214683076	0.00247376	-0.92883	2.13525	-2.77702	-1.56958	-2.62322	-2.92635e-05	2.99757e-05	4.92236e-06	2.74361e-05	3.55015e-05	-2.17261e-05	4.92418e-05	-60.8411	-16.1762	-2.82099	0.406894	0.000143268	-2.88504e-05	7.42506e-05	1.05276e-07	3.82729e-05	5.67021e-05	-2.45566e-05	
51	1580406961.222721795	0.00247473	-0.92883	2.13525	-2.77702	-1.56957	-2.62322	-2.29112e-05	2.8605e-05	-1.41763e-06	2.23195e-05	3.75951e-05	-2.13606e-05	5.44237e-05	-60.841	-16.1762	-2.82099	0.406905	0.000138834	-1.73533e-05	7.01049e-05	-1.06719e-05	2.86439e-05	5.88779e-05	-2.33386e-05	
52	1580406961.230745098	0.00247376	-0.928833	2.13525	-2.77702	-1.56957	-2.62322	-2.73484e-05	1.17583e-05	-7.29368e-06	7.17331e-06	5.51515e-05	-3.14032e-05	1.52464e-05	-60.8408	-16.1763	-2.82099	0.406945	0.000128157	-2.44751e-05	3.97764e-05	-2.03949e-05	2.21658e-06	8.72784e-05	-3.98371e-05	
53	1580406961.238727427	0.00247569	-0.928834	2.13525	-2.77702	-1.56957	-2.62322	-1.58805e-05	6.39668e-06	2.89688e-06	1.38696e-05	6.61412e-05	-2.51045e-05	2.65379e-05	-60.8407	-16.1763	-2.821	0.406945	0.000129295	-4.41206e-06	2.97064e-05	-2.59428e-06	1.35371e-05	0.000103835	-2.81804e-05	
54	1580406961.246686151	0.0024747	-0.928832	2.13525	-2.77702	-1.56957	-2.62322	-2.05991e-05	1.67421e-05	1.74454e-05	2.0039e-05	6.0627e-05	-2.42989e-05	4.12137e-05	-60.8408	-16.1762	-2.821	0.40692	0.000137348	-1.23201e-05	4.65505e-05	2.21658e-05	2.36862e-05	9.19808e-05	-2.61382e-05	
55	1580406961.254789901	0.00247375	-0.928833	2.13525	-2.77702	-1.56957	-2.62322	-2.49126e-05	1.10703e-05	1.54558e-05	2.06274e-05	6.04271e-05	-2.34812e-05	2.17335e-05	-60.8408	-16.1762	-2.821	0.406925	0.000136532	-1.93482e-05	3.58105e-05	1.82612e-05	2.412e-05	8.94437e-05	-2.41284e-05	
56	1580406961.262755037	0.00247285	-0.928833	2.13525	-2.77702	-1.56957	-2.62322	-2.88407e-05	1.08349e-05	8.51678e-06	2.11152e-05	6.00797e-05	-2.26543e-05	1.13953e-05	-60.8408	-16.1762	-2.82099	0.40693	0.000135873	-2.55533e-05	3.4556e-05	6.06052e-06	2.4375e-05	8.67279e-05	-2.21546e-05	
57	1580406961.270724451	0.00247293	-0.928832	2.13525	-2.77702	-1.56957	-2.62321	-2.73561e-05	1.56163e-05	7.06862e-06	2.15085e-05	5.95962e-05	-6.76133e-06	1.8756e-05	-60.8408	-16.1762	-2.82099	0.406926	0.000139454	-2.24357e-05	4.18387e-05	3.46387e-06	2.44662e-05	8.38566e-05	5.30508e-06	
58	1580406961.278717672	0.0024749	-0.928831	2.13525	-2.77702	-1.56957	-2.62321	-1.58609e-05	2.00245e-05	7.10365e-07	2.18134e-05	4.40136e-05	-6.95008e-06	4.43088e-05	-60.8409	-16.1762	-2.82098	0.406915	0.000137411	-2.43774e-06	4.8317e-05	-7.38731e-06	2.4408e-05	5.54852e-05	4.85731e-06	
59	1580406961.286778829	0.00247585	-0.928827	2.13525	-2.77702	-1.56957	-2.62322	-1.01196e-05	3.89656e-05	9.88581e-06	2.20355e-05	4.92699e-05	-1.71257e-05	9.19724e-05	-60.8411	-16.1761	-2.82099	0.4069	0.000140079	7.33559e-06	7.9249e-05	8.32212e-06	2.42134e-05	6.30855e-05	-1.24874e-05	
60	1580406961.294668554	0.00247584	-0.928827	2.13525	-2.77702	-1.56957	-2.62321	-9.70886e-06	3.67336e-05	3.37943e-06	2.21804e-05	4.41499e-05	-1.16254e-05	8.33843e-05	-60.8411	-16.1761	-2.82098	0.406902	0.000139145	7.85493e-06	7.36186e-05	-2.88006e-06	2.38952e-05	5.29519e-05	-2.89174e-06	
61	1580406961.302714606	0.00247396	-0.928828	2.13525	-2.77702	-1.56957	-2.62321	-1.91605e-05	3.45725e-05	1.7149e-05	2.22533e-05	3.43614e-05	-6.47543e-06	6.57051e-05	-60.841	-16.176	-2.82097	0.406888	0.000144352	-8.31507e-06	6.82501e-05	2.04733e-05	2.34651e-05	3.51714e-05	5.88147e-06	
62	1580406961.310659775	0.00247495	-0.928829	2.13525	-2.77702	-1.56957	-2.62321	-1.31673e-05	2.76e-05	1.01839e-05	1.23003e-05	3.98087e-05	-1.15239e-05	6.08693e-05	-60.8409	-16.1761	-2.82097	0.406909	0.000136313	2.00182e-06	5.48848e-05	8.2298e-06	6.1036e-06	4.35669e-05	-2.78937e-06	
63	1580406961.318712611	0.00247314	-0.928827	2.13526	-2.77702	-1.56957	-2.62321	-2.21928e-05	3.5617e-05	2.32924e-05	1.77661e-05	3.01995e-05	-1.12307e-05	6.2972e-05	-60.841	-16.176	-2.82097	0.406884	0.000143909	-1.32918e-05	6.71584e-05	3.01809e-05	1.51967e-05	2.63375e-05	-2.23282e-06	
64	1580406961.326650435	0.00247047	-0.928828	2.13526	-2.77702	-1.56957	-2.62321	-3.53802e-05	2.8503e-05	3.54277e-05	1.79714e-05	4.06854e-05	-6.09286e-06	2.91914e-05	-60.8409	-16.1759	-2.82097	0.406891	0.000147394	-3.52486e-05	5.36089e-05	4.99719e-05	1.51969e-05	4.34355e-05	6.48743e-06	
65	1580406961.334695492	0.00247068	-0.928829	2.13526	-2.77702	-1.56957	-2.62321	-3.30664e-05	2.18151e-05	4.18268e-05	8.31071e-06	3.57285e-05	-1.09931e-05	2.45437e-05	-60.8407	-16.1759	-2.82096	0.406894	0.000143285	-3.05446e-05	4.11025e-05	5.9625e-05	-1.44243e-06	3.40863e-05	-1.92879e-06	
66	1580406961.342673012	0.00246997	-0.92883	2.13526	-2.77702	-1.56957	-2.62321	-3.56252e-05	2.03173e-05	4.76777e-05	9.0394e-06	3.57943e-05	-1.08706e-06	1.71263e-05	-60.8407	-16.1759	-2.82096	0.406892	0.000146273	-3.41667e-05	3.7642e-05	6.81322e-05	-1.7884e-07	3.3426e-05	1.48095e-05	
67	1580406961.350701383	0.00246659	-0.928832	2.13526	-2.77702	-1.56957	-2.62321	-5.21007e-05	9.36559e-06	4.3306e-05	9.68903e-06	2.14925e-05	3.39341e-06	-3.27402e-05	-60.8405	-16.1759	-2.82095	0.406892	0.000147075	-6.11479e-05	1.83419e-05	5.9227e-05	9.21941e-07	8.58354e-06	2.20181e-05	
68	1580406961.358691732	0.00246788	-0.928829	2.13526	-2.77702	-1.56957	-2.62321	-4.36809e-05	2.27955e-05	4.38543e-05	1.49943e-05	1.28368e-05	2.83586e-06	6.56242e-06	-60.8407	-16.1758	-2.82094	0.406872	0.000149506	-4.56005e-05	4.05327e-05	5.88157e-05	9.83343e-06	-6.17496e-06	2.05802e-05	
69	1580406961.366712871	0.00246822	-0.928826	2.13526	-2.77702	-1.56958	-2.62321	-4.04504e-05	3.99622e-05	4.42536e-05	1.5188e-05	9.43501e-06	2.31691e-06	4.28268e-05	-60.8409	-16.1758	-2.82094	0.406858	0.000152234	-3.91466e-05	6.84957e-05	5.81684e-05	9.94071e-06	-1.17535e-05	1.92424e-05	
70	1580406961.374704901	0.00246946	-0.928827	2.13526	-2.77702	-1.56957	-2.62321	-3.26224e-05	3.24514e-05	3.51471e-05	5.77162e-06	2.51495e-05	1.83484e-06	3.8693e-05	-60.8408	-16.1758	-2.82095	0.406889	0.000143707	-2.51183e-05	5.43391e-05	4.15635e-05	-6.10588e-06	1.49262e-05	1.79992e-05	
71	1580406961.382666806	0.00247157	-0.928825	2.13526	-2.77702	-1.56957	-2.62321	-2.05494e-05	3.93532e-05	3.12268e-05	-3.02759e-06	2.09008e-05	1.0708e-05	6.83467e-05	-60.8409	-16.1758	-2.82094	0.40689	0.000141673	-4.28648e-06	6.47197e-05	3.40558e-05	-2.07457e-05	7.46212e-06	3.24984e-05	
72	1580406961.390729552	0.0024745	-0.928826	2.13526	-2.77702	-1.56957	-2.62321	-4.56765e-06	3.17843e-05	1.35777e-05	2.86444e-06	2.15146e-05	9.68923e-06	7.41076e-05	-60.8408	-16.1758	-2.82094	0.406903	0.000134153	2.26254e-05	5.05809e-05	3.68309e-06	-1.03945e-05	8.33082e-06	3.00649e-05	
73	1580406961.398745870	0.00247553	-0.928826	2.13526	-2.77702	-1.56957	-2.62321	1.08476e-06	3.38788e-05	1.09201e-05	-1.06775e-06	1.74094e-05	1.33375e-05	8.45921e-05	-60.8408	-16.1758	-2.82093	0.406903	0.00013282	3.15996e-05	5.29756e-05	-8.52222e-07	-1.67565e-05	1.26656e-06	3.55162e-05	
74	1580406961.406687903	0.00247741	-0.928825	2.13526	-2.77702	-1.56957	-2.62321	1.09863e-05	3.57526e-05	8.40654e-06	-9.33332e-06	1.81189e-05	1.67162e-05	0.000101855	-60.8408	-16.1758	-2.82093	0.40691	0.000129512	4.74912e-05	5.49495e-05	-5.04245e-06	-3.02358e-05	2.43198e-06	4.03937e-05	
75	1580406961.414789473	0.00247744	-0.928827	2.13525	-2.77702	-1.56957	-2.62321	1.1024e-05	2.82747e-05	6.03284e-06	-7.70719e-06	1.41557e-05	1.52653e-05	8.59171e-05	-60.8407	-16.1758	-2.82092	0.406913	0.000127525	4.65081e-05	4.12239e-05	-8.90345e-06	-2.68476e-05	-4.25314e-06	3.70765e-05	
76	1580406961.422745335	0.00247746	-0.928831	2.13526	-2.77702	-1.56957	-2.62321	1.10467e-05	7.397e-06	8.34408e-06	-6.17797e-06	1.04112e-05	9.24093e-06	4.90864e-05	-60.8404	-16.1759	-2.82092	0.406922	0.000122671	4.55254e-05	5.39368e-06	-4.83909e-06	-2.37003e-05	-1.04209e-05	2.61852e-05	
77	1580406961.430763984	0.00247748	-0.928832	2.13525	-2.77702	-1.56957	-2.62321	1.10548e-05	1.65042e-06	5.9462e-06	-4.74218e-06	1.59351e-05	3.60009e-06	3.77485e-05	-60.8403	-16.1759	-2.82093	0.406931	0.000120034	4.45439e-05	-4.32963e-06	-8.73963e-06	-2.0782e-05	-9.55046e-07	1.61833e-05	
78	1580406961.438682228	0.00247661	-0.92883	2.13525	-2.77702	-1.56957	-2.62321	6.51778e-06	9.79883e-06	-8.22307e-07	-3.39638e-06	1.65378e-05	2.10455e-05	3.79609e-05	-60.8405	-16.1759	-2.82092	0.406929	0.000125149	3.59952e-05	9.37672e-06	-1.98536e-05	-1.80813e-05	7.6443e-08	4.49722e-05	
79	1580406961.447161981	0.00247755	-0.928831	2.13525	-2.77702	-1.56957	-2.62321	1.12974e-05	3.9247e-06	-7.15105e-06	2.34947e-06	8.0775e-06	1.92611e-05	3.29156e-05	-60.8404	-16.1759	-2.82092	0.406927	0.000123038	4.31915e-05	-6.29306e-07	-2.99852e-05	-8.09848e-06	-1.40421e-05	4.10208e-05	
80	1580406961.454719705	0.00247579	-0.928831	2.13525	-2.77702	-1.56957	-2.62321	2.27829e-06	2.89088e-06	4.98819e-06	-1.40434e-06	9.07538e-06	1.75546e-05	1.99148e-05	-60.8404	-16.1759	-2.82092	0.406923	0.000125802	2.72166e-05	-2.33884e-06	-9.09199e-06	-1.41828e-05	-1.20716e-05	3.72906e-05	
81	1580406961.462695452	0.00247587	-0.928831	2.13526	-2.77702	-1.56957	-2.62321	2.79523e-06	1.9151e-06	7.24279e-06	-2.90241e-07	1.44217e-05	1.1389e-05	2.02749e-05	-60.8403	-16.1759	-2.82093	0.406926	0.000124824	2.74908e-05	-3.91365e-06	-5.13742e-06	-1.20203e-05	-2.89966e-06	2.62153e-05	
82	1580406961.470748500	0.00247683	-0.928832	2.13525	-2.77702	-1.56957	-2.62321	7.73238e-06	-3.43096e-06	4.8998e-06	7.46598e-07	1.05217e-05	1.45454e-05	1.74366e-05	-60.8403	-16.1759	-2.82092	0.406927	0.00012334	3.51205e-05	-1.27302e-05	-8.92624e-06	-1.00354e-05	-9.3274e-06	3.09095e-05	
83	1580406961.478775866	0.00247775	-0.928832	2.13525	-2.77702	-1.56957	-2.62321	1.23409e-05	3.89538e-07	-1.71622e-06	-2.87407e-06	1.12472e-05	1.74671e-05	2.8913e-05	-60.8403	-16.1759	-2.82092	0.406931	0.000121861	4.20364e-05	-6.10224e-06	-1.97404e-05	-1.58436e-05	-7.91785e-06	3.51111e-05	
84	1580406961.486740599	0.00247863	-0.928832	2.13525	-2.77702	-1.56957	-2.62321	1.66328e-05	-4.29542e-07	-1.22944e-05	-6.25837e-06	7.50123e-06	2.01634e-05	3.02628e-05	-60.8403	-16.176	-2.82092	0.406938	0.000118875	4.82756e-05	-7.33332e-06	-3.69028e-05	-2.11314e-05	-1.39728e-05	3.88472e-05	
85	1580406961.494712285	0.00247861	-0.928829	2.13525	-2.77702	-1.56957	-2.62321	1.62277e-05	1.19088e-05	-2.21687e-05	-1.37836e-05	8.33816e-06	3.13809e-05	4.55803e-05	-60.8405	-16.176	-2.82091	0.406941	0.000120403	4.65791e-05	1.3315e-05	-5.252e-05	-3.31815e-05	-1.22836e-05	5.66559e-05	
86	1580406961.502690539	0.00247684	-0.92883	2.13525	-2.77702	-1.56957	-2.62321	7.07557e-06	6.02223e-06	-1.37903e-05	-7.57365e-06	4.74126e-06	2.87582e-05	2.20389e-05	-60.8405	-16.176	-2.82091	0.406932	0.00012366	3.04073e-05	3.26677e-06	-3.75076e-05	-2.21757e-05	-1.79901e-05	5.11093e-05	
87	1580406961.510820129	0.00247688	-0.928832	2.13525	-2.77702	-1.56957	-2.62321	7.21394e-06	4.98103e-07	-1.47635e-05	-1.49187e-05	1.0017e-05	2.18249e-05	1.33083e-05	-60.8404	-16.176	-2.82091	0.406946	0.000119234	2.99957e-05	-5.96028e-06	-3.83316e-05	-3.38875e-05	-8.86111e-06	3.85397e-05	
88	1580406961.518702285	0.00247518	-0.928832	2.13525	-2.77702	-1.56957	-2.62321	-1.33662e-06	-3.62648e-07	-2.4275e-05	-1.29655e-05	6.29504e-06	2.8316e-05	-7.30194e-06	-60.8404	-16.1761	-2.82091	0.406948	0.000120811	1.52e-05	-7.2606e-06	-5.32851e-05	-2.99413e-05	-1.48382e-05	4.84865e-05	
89	1580406961.526770565	0.00247527	-0.92883	2.13525	-2.77702	-1.56957	-2.62321	-6.93936e-07	7.41997e-06	-3.74271e-05	-1.1113e-05	1.58438e-05	1.70648e-05	4.54128e-06	-60.8406	-16.1761	-2.82092	0.406958	0.000117901	1.59445e-05	5.77402e-06	-7.39424e-05	-2.62493e-05	1.28051e-06	2.88516e-05	
90	1580406961.534713045	0.00247709	-0.928831	2.13525	-2.77702	-1.56957	-2.62321	8.51701e-06	1.85546e-06	-4.11111e-05	-5.08065e-06	1.17357e-05	6.49449e-06	1.05561e-05	-60.8405	-16.1761	-2.82092	0.406956	0.000114055	3.08443e-05	-3.54798e-06	-7.84966e-05	-1.5726e-05	-5.53697e-06	1.07701e-05	
91	1580406961.542702693	0.00247885	-0.928831	2.13524	-2.77702	-1.56957	-2.62321	1.71317e-05	5.15742e-06	-4.87375e-05	-1.2374e-05	7.85262e-06	5.18694e-06	2.87398e-05	-60.8406	-16.1762	-2.82092	0.40696	0.00011042	4.44383e-05	1.98272e-06	-8.94713e-05	-2.74511e-05	-1.18354e-05	8.38632e-06	
92	1580406961.550711562	0.0024814	-0.92883	2.13524	-2.77702	-1.56957	-2.62321	2.9436e-05	8.23629e-06	-4.72958e-05	-1.05272e-05	1.2673e-05	8.19361e-06	5.37495e-05	-60.8406	-16.1762	-2.82092	0.406958	0.000110426	6.38334e-05	7.02597e-06	-8.52427e-05	-2.38343e-05	-3.62907e-06	1.31773e-05	
93	1580406961.558734774	0.00248385	-0.92883	2.13524	-2.77702	-1.56957	-2.62321	4.09071e-05	6.87498e-06	-4.58483e-05	-4.55233e-06	8.70064e-06	1.52181e-05	6.8433e-05	-60.8406	-16.1762	-2.82092	0.40695	0.000111618	8.14405e-05	4.63665e-06	-8.10996e-05	-1.34868e-05	-1.01039e-05	2.44938e-05	
94	1580406961.566721036	0.00248449	-0.928832	2.13524	-2.77702	-1.56957	-2.62321	4.31137e-05	-2.83466e-06	-4.43976e-05	-3.15535e-06	9.15797e-06	9.05829e-06	5.52923e-05	-60.8405	-16.1762	-2.82092	0.406954	0.000108974	8.3405e-05	-1.14608e-05	-7.70444e-05	-1.09068e-05	-9.13964e-06	1.3839e-05	
95	1580406961.574734388	0.00248511	-0.92883	2.13524	-2.77702	-1.56957	-2.62321	4.50964e-05	9.02692e-06	-4.29466e-05	-1.03929e-05	1.81077e-05	3.26611e-06	7.98017e-05	-60.8406	-16.1762	-2.82093	0.406956	0.000108953	8.49631e-05	8.30759e-06	-7.30792e-05	-2.26016e-05	5.7885e-06	4.01782e-06	
96	1580406961.582761004	0.00248314	-0.928828	2.13525	-2.77702	-1.56957	-2.62321	3.42737e-05	1.59483e-05	-2.88056e-05	-8.64037e-06	2.21062e-05	1.04382e-05	7.55054e-05	-60.8407	-16.1761	-2.82094	0.406944	0.000117266	6.54229e-05	1.95272e-05	-4.83227e-05	-1.92567e-05	1.22526e-05	1.57366e-05	
97	1580406961.590764291	0.00248463	-0.928828	2.13525	-2.77702	-1.56957	-2.62321	4.0783e-05	1.40836e-05	-1.96476e-05	-2.82288e-06	1.74809e-05	4.58038e-06	8.55957e-05	-60.8407	-16.1761	-2.82094	0.406932	0.000118078	7.47933e-05	1.6066e-05	-3.22859e-05	-9.30138e-06	4.40325e-06	5.78735e-06	
98	1580406961.598721656	0.00248437	-0.928826	2.13525	-2.77702	-1.56957	-2.62321	3.84763e-05	2.47305e-05	-1.10197e-05	-9.9575e-06	2.13823e-05	-9.22527e-07	0.0001028	-60.8408	-16.176	-2.82094	0.406927	0.000119965	6.94888e-05	3.32289e-05	-1.74608e-05	-2.08309e-05	1.07252e-05	-3.36809e-06	
99	1580406961.606773210	0.00248326	-0.928827	2.13525	-2.77702	-1.56957	-2.62321	3.20879e-05	2.22816e-05	-1.13234e-05	-8.21174e-06	1.67333e-05	-1.87312e-06	8.59901e-05	-60.8408	-16.176	-2.82094	0.406924	0.000121099	5.76011e-05	2.85401e-05	-1.76067e-05	-1.75448e-05	2.88267e-06	-4.85983e-06	
100	1580406961.614736496	0.00248303	-0.928827	2.13525	-2.77702	-1.56957	-2.62321	3.01644e-05	1.99353e-05	-1.15846e-05	-6.55911e-06	4.10616e-06	1.34908e-06	7.67076e-05	-60.8408	-16.176	-2.82093	0.406915	0.000122497	5.32871e-05	2.41195e-05	-1.76806e-05	-1.44814e-05	-1.78761e-05	5.2145e-07	
